date,n_incidents,length_in_meters,delay_in_seconds,latitude,longitude
2019-01-15 19,21.0,453.23809523809524,174.38095238095238,41.55188951038179,-8.419602394104004
2019-01-15 20,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-15 21,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-15 22,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-15 23,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-16 00,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-16 01,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-16 02,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-16 03,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-16 04,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-16 05,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-16 06,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-16 07,1.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-16 08,30.0,609.8,192.76666666666668,41.54264488220215,-8.426552899678548
2019-01-16 09,32.0,567.21875,240.28125,41.547850012779236,-8.418202191591263
2019-01-16 10,4.0,262.0,15.75,41.53763961791992,-8.406573057174683
2019-01-16 11,4.0,132.0,36.75,41.543551445007324,-8.405400037765503
2019-01-16 12,4.0,183.25,47.5,41.533830642700195,-8.415704250335693
2019-01-16 13,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-16 14,7.0,295.0,96.85714285714286,41.542650495256694,-8.41859313419887
2019-01-16 15,4.0,125.0,9.0,41.53952980041504,-8.405542850494385
2019-01-16 16,4.0,146.5,75.5,41.54500198364258,-8.4068922996521
2019-01-16 17,19.0,443.57894736842104,194.8421052631579,41.547731700696446,-8.421238949424342
2019-01-16 18,55.0,539.1090909090909,201.4,41.54687506935813,-8.428941830721769
2019-01-16 19,21.0,649.6666666666666,247.14285714285714,41.54541833060129,-8.425631250653948
2019-01-16 20,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
